,Cat_Producto,Repeticiones,%_Aparicion_dataset
0,"soups, broths, sauces and condiments",11341,0.1843585408674166
1,fruits and vegetables,9069,0.14742506014695364
2,poultry meat and poultry meat products,6302,0.10244489238572078
3,prepared dishes and snacks,3475,0.056489368619546135
4,other food product / mixed,3329,0.05411600234085441
5,"nuts, nut products and seeds",3118,0.0506860003901424
6,eggs and egg products,3094,0.05029585798816568
7,cephalopods and products thereof,2834,0.04606931530008453
8,herbs and spices,2530,0.04112751154171272
9,meat and meat products (other than poultry),2272,0.03693348072046297
10,"dietetic foods, food supplements, fortified foods",2115,0.03438129917419858
11,non-alcoholic beverages,1178,0.019149489563690746
12,pet food,1145,0.018613043760972756
13,cereals and bakery products,988,0.016060862214708368
14,milk and milk products,982,0.01596332661421419
15,fats and oils,784,0.012744651797906235
16,feed materials,738,0.011996878860784186
17,fish and fish products,643,0.010452565186292997
18,bivalve molluscs and products thereof,580,0.009428441381104102
19,food contact materials,574,0.009330905780609923
20,confectionery,564,0.009168346446452955
21,crustaceans and products thereof,547,0.008891995578386111
22,"cocoa and cocoa preparations, coffee and tea",513,0.008339293842252422
23,food additives and flavourings,417,0.006778724234345536
24,compound feeds,387,0.006291046231874634
25,alcoholic beverages,382,0.00620976656479615
26,ices and desserts,267,0.004340334221991027
27,wine,183,0.0029748358150725016
28,water for human consumption (other),141,0.002292086611613239
29,feed additives,134,0.0021782950777033618
30,natural mineral water,130,0.002113271344040575
31,feed premixtures,121,0.001966967943299304
32,gastropods,120,0.0019507120098836074
33,honey and royal jelly,83,0.0013492424735028286
34,animal by-products - (obsolete),79,0.0012842187398400416
35,feed for food-producing animals - (obsolete),76,0.0012354509395929513
36,animal nutrition - (obsolete),58,0.0009428441381104103
37,molluscs and products thereof - (obsolete),55,0.0008940763378633202
38,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),53,0.0008615644710319267
39,farmed crustaceans and products thereof - (obsolete),46,0.0007477729371220495
40,wild caught crustaceans and products thereof - (obsolete),45,0.0007315170037063528
41,farmed fish and products thereof (other than crustaceans and molluscs) - (obsolete),24,0.0003901424019767215
